mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
777400.0,449,3.291581291759466,0.7898139463365991,1.43,6.09,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
778400.0,449,2.8046859688195993,0.4675188707077668,1.1,4.173,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
779400.0,449,2.83160579064588,0.5939429108135555,1.0,4.23,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
780400.0,449,2.656100222717149,0.4164876318959203,1.0,3.94,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
781400.0,449,2.9778953229398666,0.5807148498067798,1.2,4.4,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
782400.0,448,2.9332901785714287,0.5912418778415598,1.1,4.52,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
783400.0,449,2.8565389755011137,0.5995048209026806,1.0,4.26,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
784400.0,443,3.5298148984198647,0.5559016824871229,1.8,5.191,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
785400.0,439,3.7181161731207286,0.8165599926721917,2.08,5.591,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
786400.0,449,3.245305122494432,0.6469949926635735,1.8,6.1,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
787400.0,449,3.050075723830735,0.576414505155016,1.56,4.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
788400.0,448,3.137125,0.5884541326384234,1.3,4.64,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
789400.0,449,2.975518930957684,0.7288012388398964,1.1,5.38,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
790400.0,449,2.932293986636971,0.6485777076366589,1.1,6.05,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
791400.0,448,3.095946428571428,0.5986663192271022,1.4,5.914,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
792400.0,448,3.3582053571428574,0.8738006329254931,1.1,6.407,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
793400.0,449,3.1230022271714923,0.8057966125509589,1.0,7.079,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
794400.0,449,3.0394543429844094,0.6989563797478701,1.0,4.73,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
795400.0,448,3.1228370535714283,0.5326598427370672,1.13,4.8,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
796400.0,448,2.976238839285714,0.5507950313336407,1.01,4.9,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
805400.0,442,3.7471244343891406,0.5748681997345182,1.78,5.8,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
806400.0,446,3.110744394618834,0.5997494886415599,1.1,4.89,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
807400.0,446,3.039630044843049,0.6490032668282233,1.3,5.19,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
808400.0,444,2.815009009009009,0.47687440780732754,1.3,4.01,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
809400.0,446,3.0976367713004485,0.58881104570457,1.3,5.62,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
810400.0,445,2.618058426966292,0.3966056670512408,1.32,4.0,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
811400.0,445,3.136512359550562,0.3859570448897784,1.67,4.36,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
812400.0,446,3.0214641255605383,0.4054035884111654,1.54,4.6,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
813400.0,446,3.441641255605381,0.6718737016830257,1.36,5.03,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
814400.0,446,3.3308139013452913,0.4754058882133157,1.68,5.085,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
815400.0,444,3.026234234234234,0.5583538721909331,1.28,4.82,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
816400.0,443,3.1681738148984198,0.5885006787638816,1.3,4.52,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
817400.0,443,2.839722347629797,0.5407197835045512,1.2,5.28,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
818400.0,445,3.428577528089888,0.6129457131276995,1.2,4.76,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
819400.0,414,3.3187512077294685,0.40498455826358587,1.92,4.5,2012-12-12,2025-05-20,147,4542,152,0.9671052631578947
820400.0,444,2.9627815315315313,0.5219053731563583,1.3,4.57,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
821400.0,440,3.1986636363636363,0.5385851417732487,1.5,4.3,2012-12-12,2026-03-12,156,4838,162,0.9629629629629629
